,x,y,stru_type,size
1858,37.42451,47.79358,BCC,0.745
1859,47.781063,16.268585,SC,0.975
1860,5.378843,63.821697,BCC,0.285
1861,-60.30537,51.40729,HCP,0.36
1862,-20.530426,74.27221,Decahedron,0.155
1863,8.716414,1.6303663,HCP,0.96
1864,32.030193,40.324768,BCC,0.685
1865,-18.228186,28.522123,HCP,0.48
1866,1.0352011,87.71451,BCC,0.135
1867,46.200954,23.205381,SC,0.855
1868,-8.542293,81.35994,SC,0.125
1869,32.066563,45.21501,BCC,0.685
1870,-22.614012,26.932585,HCP,0.5
1871,-10.296737,67.63462,Decahedron,0.195
1872,-30.499872,85.574486,HCP,0.12
1873,-24.630413,82.554214,HCP,0.12
1874,-17.142698,69.463974,Decahedron,0.2
